단지번호,단지명,시구,자치구,동,위도,경도,학교수,성취_평균_avg,성취_평균_max,특목고진학_합,특목고진학_avg,사립여부_비율,시구_학교수,시구_성취_평균_avg,시구_성취_평균_max,시구_특목고진학_avg,시구_특목고진학_max,시_학교수,시_성취_평균_avg,시_성취_평균_max,시_특목고진학_avg,시_특목고진학_max,학군_매칭,학군_성취율,학군_특목고,점수_성취율,점수_특목고,점수_학군
11844,롯데캐슬클래식,서초구,,반포동,37.500515,127.021806,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
113097,e편한세상상도노빌리티,동작구,,노량진동,37.505046,126.947548,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
481,삼풍,서초구,,반포동,37.499179,127.016033,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
126726,서초그랑자이,서초구,,서초동,37.489144,127.025957,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
100559,래미안도곡카운티,강남구,,개포동,37.495144,127.051069,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
120960,과천위버필드,과천시,,갈현동,37.423175,126.990598,,,,,,,3.0,78.93333333333334,82.8,36.66666666666666,63.0,3,78.93333333333334,82.8,36.66666666666666,63.0,시구,78.93333333333334,36.66666666666666,75.73333333333335,100.0,83.01333333333335
101344,서초교대e편한세상,서초구,,반포동,37.496937,127.017375,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
13814,역삼래미안,강남구,,개포동,37.497838,127.050397,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
110364,래미안서초에스티지,서초구,,서초동,37.492833,127.025172,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
24008,삼성힐스테이트2단지,강남구,,삼성동,37.514112,127.051582,1.0,85.7,85.7,6.0,6.0,0.0,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,동,85.7,6.0,100.0,30.0,79.0
132385,신반포르엘,서초구,,반포동,37.516992,127.013686,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
104032,테헤란아이파크,강남구,,논현동,37.502668,127.047118,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
118791,서초센트럴아이파크,서초구,,서초동,37.487007,127.01165,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
19418,대치아이파크,강남구,,개포동,37.494754,127.054575,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
125930,과천자이,과천시,,갈현동,37.428608,126.998856,,,,,,,3.0,78.93333333333334,82.8,36.66666666666666,63.0,3,78.93333333333334,82.8,36.66666666666666,63.0,시구,78.93333333333334,36.66666666666666,75.73333333333335,100.0,83.01333333333335
1285,서초래미안,서초구,,반포동,37.498528,127.019039,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
490,우성5차,서초구,,서초동,37.494502,127.026894,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
25772,래미안서초스위트,서초구,,반포동,37.502179,127.020359,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
104449,방배롯데캐슬아르떼,동작구,,동작동,37.483848,126.984676,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
102142,두산위브트레지움,동작구,,동작동,37.48557,126.971277,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
445,반포미도2차,서초구,,반포동,37.502504,127.007462,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
9194,래미안상도3차,동작구,,노량진동,37.499545,126.954799,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
188978,힐스테이트장승배기역,동작구,,노량진동,37.505608,126.940778,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
127477,래미안라클래시,강남구,,논현동,37.517476,127.050021,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
121427,과천센트럴파크푸르지오써밋,과천시,,갈현동,37.43165,127.001131,,,,,,,3.0,78.93333333333334,82.8,36.66666666666666,63.0,3,78.93333333333334,82.8,36.66666666666666,63.0,시구,78.93333333333334,36.66666666666666,75.73333333333335,100.0,83.01333333333335
767,한강대우,동작구,,본동,37.522454,126.970702,1.0,75.2,75.2,3.0,3.0,1.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,75.2,3.0,60.80000000000001,15.0,47.06
18,논현신동아,서초구,,잠원동,37.514887,127.022874,2.0,77.1,79.5,23.0,11.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.1,11.5,68.39999999999998,57.49999999999999,65.12999999999998
127482,강남센트럴아이파크,강남구,,논현동,37.500401,127.045471,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
109124,상도파크자이,동작구,,노량진동,37.505867,126.938473,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
114533,래미안신반포리오센트,서초구,,반포동,37.518478,127.013762,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
100304,흑석한강센트레빌1차,동작구,,동작동,37.506242,126.965304,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
113151,디에이치아너힐즈,강남구,,개포동,37.484658,127.067248,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
25778,방배서리풀e-편한세상,서초구,,방배동,37.484312,126.998447,1.0,74.4,74.4,9.0,9.0,1.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,74.4,9.0,57.600000000000016,45.0,53.82000000000001
123898,보라매자이더포레스트,영등포구,,신길동,37.498589,126.926232,1.0,76.0,76.0,2.0,2.0,0.0,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,동,76.0,2.0,64.0,10.0,47.8
111332,삼성센트럴아이파크,강남구,,논현동,37.515496,127.051194,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
108825,아크로힐스논현,강남구,,논현동,37.509594,127.038948,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
182057,청담르엘,강남구,,삼성동,37.521853,127.059077,1.0,85.7,85.7,6.0,6.0,0.0,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,동,85.7,6.0,100.0,30.0,79.0
13813,역삼e-편한세상,강남구,,논현동,37.498632,127.049324,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
109205,아크로타워스퀘어,영등포구,,당산동,37.52383,126.907445,,,,,,,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,시구,73.81666666666666,3.4166666666666665,55.26666666666665,17.083333333333332,43.81166666666665
100694,래미안트윈파크,영등포구,,여의도동,37.51414,126.950467,2.0,73.75,73.8,11.0,5.5,0.0,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,동,73.75,5.5,55.00000000000001,27.500000000000004,46.75
131685,흑석자이,동작구,,노량진동,37.501719,126.961407,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
111467,래미안로이파크,동작구,,동작동,37.488542,126.973181,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
491,유원서초,서초구,,반포동,37.496155,127.018584,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
518,신반포청구,서초구,,반포동,37.514334,127.008403,3.0,77.39999999999999,82.0,15.0,7.5,0.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,77.39999999999999,7.5,69.59999999999997,37.5,59.96999999999997
134062,디에이치퍼스티어아이파크,서초구,,양재동,37.480393,127.057099,,,,,,,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,시구,76.86875,7.2,67.47500000000002,36.0,58.03250000000001
22746,리센츠,송파구,,삼전동,37.513251,127.08675,1.0,73.0,73.0,0.0,0.0,1.0,29.0,74.12068965517241,83.5,5.241379310344827,17.0,29,74.12068965517241,83.5,5.241379310344827,17.0,동,73.0,0.0,52.0,0.0,36.4
127725,이수스위첸포레힐즈,동작구,,동작동,37.497744,126.982441,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
394,래미안그레이튼3차,강남구,,개포동,37.496731,127.048307,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
375,대림,동작구,,동작동,37.486217,126.973111,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
18967,롯데캐슬프레미어,강남구,,논현동,37.515662,127.0449,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
115037,방배아트자이,서초구,,방배동,37.480069,127.002341,1.0,74.4,74.4,9.0,9.0,1.0,16.0,76.86875,82.1,7.2,15.0,16,76.86875,82.1,7.2,15.0,동,74.4,9.0,57.600000000000016,45.0,53.82000000000001
112697,래미안과천센트럴스위트,과천시,,갈현동,37.431834,126.997924,,,,,,,3.0,78.93333333333334,82.8,36.66666666666666,63.0,3,78.93333333333334,82.8,36.66666666666666,63.0,시구,78.93333333333334,36.66666666666666,75.73333333333335,100.0,83.01333333333335
128527,개포자이프레지던스,강남구,,개포동,37.485105,127.071605,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
109227,역삼자이,강남구,,논현동,37.500719,127.04443,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
117254,보라매SK뷰,영등포구,,대림동,37.50361,126.918573,2.0,68.94999999999999,71.6,2.0,1.0,0.0,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,동,68.94999999999999,1.0,35.799999999999955,5.0,26.559999999999967
110919,상도두산위브트레지움2차,동작구,,노량진동,37.504079,126.942675,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
24009,삼성힐스테이트1단지,강남구,,논현동,37.516721,127.048834,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
564,옥수하이츠,강남구,,압구정동,37.540242,127.016275,2.0,77.4,80.5,10.0,5.0,0.0,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,동,77.4,5.0,69.60000000000002,25.0,56.22000000000001
14142,역삼푸르지오,강남구,,개포동,37.497966,127.047479,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
464,방배현대1차,동작구,,동작동,37.489189,126.983417,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
1179,옥수삼성,강남구,,압구정동,37.542421,127.013983,2.0,77.4,80.5,10.0,5.0,0.0,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,동,77.4,5.0,69.60000000000002,25.0,56.22000000000001
761,강촌,동작구,,흑석동,37.519188,126.978553,1.0,68.9,68.9,6.0,6.0,1.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,68.9,6.0,35.60000000000002,30.0,33.920000000000016
22846,힐스테이트상도프레스티지,동작구,,상도1동,37.49643,126.948962,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
837,래미안그레이튼2차,강남구,,개포동,37.4952,127.047241,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
154,"선경1,2차",강남구,,개포동,37.49228,127.062918,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
473,서광,강남구,,논현동,37.517041,127.04271,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
109434,래미안에스티움,영등포구,,대림동,37.501038,126.91371,2.0,68.94999999999999,71.6,2.0,1.0,0.0,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,동,68.94999999999999,1.0,35.799999999999955,5.0,26.559999999999967
180737,잠실래미안아이파크,송파구,,방이동,37.518402,127.111345,3.0,71.33333333333333,75.8,0.0,0.0,0.0,29.0,74.12068965517241,83.5,5.241379310344827,17.0,29,74.12068965517241,83.5,5.241379310344827,17.0,동,71.33333333333333,0.0,45.333333333333314,0.0,31.73333333333332
104791,래미안밤섬리베뉴I,영등포구,,당산동,37.547162,126.925379,,,,,,,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,시구,73.81666666666666,3.4166666666666665,55.26666666666665,17.083333333333332,43.81166666666665
22789,상도더샵1차,동작구,,노량진동,37.5022,126.943294,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
19127,트리지움,송파구,,삼전동,37.509812,127.088394,1.0,73.0,73.0,0.0,0.0,1.0,29.0,74.12068965517241,83.5,5.241379310344827,17.0,29,74.12068965517241,83.5,5.241379310344827,17.0,동,73.0,0.0,52.0,0.0,36.4
127384,이수푸르지오더프레티움,동작구,,동작동,37.493073,126.980452,1.0,77.4,77.4,3.0,3.0,0.0,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,동,77.4,3.0,69.60000000000002,15.0,53.22000000000001
112228,래미안블레스티지,강남구,,개포동,37.481058,127.064178,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
2981,당산삼성래미안,영등포구,,당산동,37.532316,126.90319,,,,,,,12.0,73.81666666666666,80.8,3.4166666666666665,7.0,12,73.81666666666666,80.8,3.4166666666666665,7.0,시구,73.81666666666666,3.4166666666666665,55.26666666666665,17.083333333333332,43.81166666666665
112997,롯데캐슬에듀포레,동작구,,노량진동,37.504544,126.959705,,,,,,,16.0,74.85625,83.3,2.5625,8.0,16,74.85625,83.3,2.5625,8.0,시구,74.85625,2.5625,59.42500000000002,12.812499999999998,45.44125000000001
65,"개포우성1,2차",강남구,,개포동,37.491424,127.059787,,,,,,,24.0,78.85416666666667,86.1,8.583333333333334,22.0,24,78.85416666666667,86.1,8.583333333333334,22.0,시구,78.85416666666667,8.583333333333334,75.41666666666669,42.91666666666667,65.66666666666669
